method,viol_mean,viol_std,worst_mean,worst_std,stretch_uw_mean,stretch_uw_std,stretch_w_mean,stretch_w_std,marg_mean
B3 Naive Pooled,8.0,2.449489742783178,0.17787026078557244,0.014615746031031806,1.462760644293331,0.054274038252085544,1.6088024641270458,0.04320096463330504,0.09105594912847385
B2 Per-site Local,1.3333333333333333,1.247219128924647,0.11099268478738207,0.010104825046333773,83.22971309765909,3.478314479402874,20.67414461972012,0.8391372231265231,0.025206016973613368
Shrinkage n0=5,1.3333333333333333,1.247219128924647,0.10857714848605647,0.007675257926846204,63.50259309378841,4.6358770597672985,13.625715618470545,1.4024351002096056,0.03147772369356445
Shrinkage n0=9,1.3333333333333333,1.247219128924647,0.1118277539698324,0.011066629697286565,28.751657581362263,7.728397331620613,7.619161268075884,1.8904052560661893,0.04560926988141606
Shrinkage n0=15,2.6666666666666665,1.699673171197595,0.11849966203858658,0.004934638639658371,4.384989081063906,1.7529650268078403,3.097489225151587,0.9247236163691585,0.059905890513895256
Shrinkage n0=20,3.3333333333333335,2.6246692913372702,0.12480248350256207,0.009236621143211289,1.975847336692177,0.09385290120609711,2.0614173650881944,0.040677925932738696,0.06544205930762582
BudgetAlloc (uncapped),12.333333333333334,0.9428090415820634,0.3508239013399244,0.11563876184078473,1.3912936149812565,0.08308213861476606,2.651261902567731,0.1420322003998081,0.14298429497394113
BudgetAlloc cap d=0.02,2.6666666666666665,1.247219128924647,0.132259368518555,0.014275161545057896,74.67357264463465,4.038299955607713,16.663365645545863,1.1530904430740756,0.031351444334332824
BudgetAlloc cap d=0.03,2.6666666666666665,1.247219128924647,0.142249079109424,0.01563473465416922,71.59953840019215,4.810400831184543,15.450851345165068,1.5139757316902378,0.03487102162195328
BudgetAlloc cap d=0.05,4.0,0.0,0.1516699505031616,0.02659498563674471,63.83203155587509,4.846513897636883,13.167716452134101,0.8815810112787319,0.04379089935715557
