site,n_total,n_cal,n_test,b3_fnr,b3_stretch,shrink_fnr,shrink_stretch
1,511,255,256,0.06261631567031145,1.5712417224422097,0.08214330580085516,1.3648532312363386
2,6,3,3,0.010782003402709961,1.4215145111083984,0.0,98.4950459798177
3,15,7,8,0.03204822540283203,2.0042162090539932,0.0,201.68399143218994
4,47,23,24,0.13602366298437119,1.495646337668101,0.0,125.10807625452678
5,22,11,11,0.06678649512204257,1.4524000124497847,0.029356821016831833,2.4766915061257104
6,34,17,17,0.10873636428047628,1.4880808486657984,0.04547354403664084,2.353239150608287
7,12,6,6,0.050004263718922935,1.5741394360860188,0.0,125.57136535644531
8,8,4,4,0.06732217967510223,1.3296552002429962,0.0,95.57723236083984
10,8,4,4,0.1342480331659317,0.9810304045677185,0.0,51.66246032714844
11,14,7,7,0.06333026715687343,1.3212896500314986,0.02449233191353934,1.8523284707750594
12,11,5,6,0.1681401530901591,1.8103686173756917,0.0,129.46873219807944
13,35,17,18,0.10670210586653815,1.2761300305525463,0.05387372109625074,2.111627913183636
14,6,3,3,0.0684625506401062,1.4951223929723103,0.0,248.4639155069987
15,13,6,7,0.05541785274233137,1.9412618960653032,0.0,159.92885862077986
16,30,15,15,0.0835277001063029,1.700767699877421,0.032814482847849526,2.552338409423828
17,9,4,5,0.12780689001083373,1.8741270780563355,0.0,250.91093978881835
18,382,191,191,0.14969311178666758,1.7083649566660377,0.08027327310352425,3.258728688612034
20,33,16,17,0.06961408432792215,1.420245514196508,0.03625602932537303,2.2056977889117073
21,35,17,18,0.049177262518141,1.3684237566259172,0.049177262518141,1.3684237566259172
22,7,3,4,0.11558285355567932,1.2002364546060562,0.0,73.92798042297363
