method,viol_mean,viol_std,worst_mean,worst_std,marg_mean,stretch_mean,stretch_std
LOO+Bern n0=5,0.0,0.0,0.049969647878916425,0.01053722467012203,0.004553460051818044,118.45011429885768,6.018582691063004
LOO+Bern n0=7,0.0,0.0,0.04921763170950846,0.01094223773201555,0.0044784171490390165,118.45280781386198,6.018427963006533
LOO+Bern n0=9,0.0,0.0,0.04752017180942758,0.008553433068071716,0.004393544154034973,118.45530991492335,6.015437621999205
LOO+Bern n0=10,0.0,0.0,0.04752017180942758,0.008553433068071716,0.004393544154034973,118.45530991492335,6.015437621999205
LOO+Bern n0=12,0.0,0.0,0.04752017180942758,0.008553433068071716,0.004393544154034973,118.45530991492335,6.015437621999205
LOO+Bern n0=15,0.0,0.0,0.04752017180942758,0.008553433068071716,0.004393544154034973,118.45530991492335,6.015437621999205
LOO+Bern n0=20,0.0,0.0,0.04752017180942758,0.008553433068071716,0.004393544154034973,118.45530991492335,6.015437621999205
LOO+Bern n0=25,0.0,0.0,0.04752017180942758,0.008553433068071716,0.004318325352969679,118.45749719872602,6.01817726849381
LOO+Bern n0=30,0.0,0.0,0.04582271190934667,0.006173762901630611,0.004233452357965633,118.45999929978738,6.015187974594704
LOO+Hoeff n0=5,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=7,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=9,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=10,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=12,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=15,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=20,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=25,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
LOO+Hoeff n0=30,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
Full-fix c=3,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
Full-fix c=5,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
Full-fix c=8,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
Full-fix c=10,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
Full-fix c=15,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
Full-fix c=20,0.0,0.0,0.014673686317999708,0.0017156963527014551,0.0007336843158999854,127.91846166696654,5.3000645064656275
Orig n0=9,1.3333333333333333,1.247219128924647,0.1118277539698324,0.011066629697286565,0.04560926988141606,28.751657581362263,7.728397331620613
LOO n0=9,1.3333333333333333,1.247219128924647,0.1118277539698324,0.011066629697286565,0.04536424945252576,28.757950423448616,7.732801385092304
Orig n0=7,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.041639079524818746,37.931286251298516,9.557999279026426
LOO n0=7,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.04147027881728397,37.93363207892326,9.557800709625623
Orig n0=5,1.3333333333333333,1.247219128924647,0.10857714848605647,0.007675257926846204,0.03147772369356445,63.50259309378841,4.6358770597672985
LOO n0=5,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.031378768159820596,63.50329433959843,4.635625241105261
B2 Per-site,1.3333333333333333,1.247219128924647,0.11099268478738207,0.010104825046333773,0.025206016973613368,83.22971309765909,3.478314479402874
Orig n0=10,2.0,0.816496580927726,0.1128613679876787,0.009778237564251498,0.0500863267976168,20.099729015180746,10.148641915356851
LOO n0=10,2.0,0.816496580927726,0.1128613679876787,0.009778237564251498,0.049909408143795075,20.102765591035862,10.150292979050427
Orig n0=12,2.3333333333333335,1.247219128924647,0.11568051501313265,0.006639812819742942,0.055559841346487615,10.081600783062681,5.836730729207153
LOO n0=12,2.3333333333333335,1.247219128924647,0.11568051501313265,0.006639812819742942,0.05545078125149664,10.082333941378822,5.836343392955465
LOO n0=15,2.6666666666666665,1.699673171197595,0.12198333647710814,0.009638633045092238,0.059852039517109,4.384933168181052,1.7562654515493188
Orig n0=15,2.6666666666666665,1.699673171197595,0.11849966203858658,0.004934638639658371,0.059905890513895256,4.384989081063906,1.7529650268078403
Orig n0=20,3.3333333333333335,2.6246692913372702,0.12480248350256207,0.009236621143211289,0.06544205930762582,1.975847336692177,0.09385290120609711
LOO n0=20,3.3333333333333335,2.6246692913372702,0.12480248350256207,0.009236621143211289,0.0653547745691596,1.9764455391015272,0.09364392697232198
Orig n0=25,4.0,3.559026084010437,0.13110530496653758,0.013686856112246223,0.06853363877249685,1.9112801849017151,0.10019068511694688
Orig n0=30,4.333333333333333,4.0276819911981905,0.13404547951341772,0.009855335695387758,0.07109233607961984,1.8555091859918413,0.08917516266920551
LOO n0=25,4.333333333333333,4.0276819911981905,0.13110530496653758,0.013686856112246223,0.06844080258278114,1.9085610811459457,0.10556991386088542
LOO n0=30,4.666666666666667,3.7712361663282534,0.13404547951341772,0.009855335695387758,0.0710612930060125,1.8538487318644077,0.0868394099491527
B3 Naive Pooled,8.0,2.449489742783178,0.17787026078557244,0.014615746031031806,0.09105594912847385,1.462760644293331,0.054274038252085544
